PI_NAMEs,PROJECT_TITLE,FISCAL_YEAR,ACTIVITY,TOTAL_COST,PROJECT_START,PROJECT_END,FULL_PROJECT_NUM,ORG_NAME,RELEVANCE,REASONING,ABSTRACT,FETCH_STATUS
Joanna Biernacka,6/7 PsycheMERGE: Advancing Precision Psychiatry,2025,R01,442460,2024-09-15T00:00:00,2029-05-31T00:00:00,,,High,"""PsycheMERGE"" is a well-known psychiatric genomics consortium. This is a computational genetics grant.","PROJECT SUMMARY
Psychiatric disorders remain a leading cause of disability in the US and are associated with increased morbidity
and mortality. Early detection and treatment is essential to improving long-term outcomes, yet a substantial
proportion of patients with psychiatric complaints experience long diagnostic odysseys before receiving an
appropriate diagnosis and initiating effective treatment. “Learning health care systems” aim to short-circuit this
slow process by leveraging the diagnostic, treatment, and utilization patterns left behind in “big data” (e.g.,
clinical, genomic, and social determinants of health) to more efficiently and accurately match the right patient
with the right diagnosis/treatment, at the right time. Furthermore, over the past several years, a new paradigm–
precision medicine–has moved to the forefront of biomedical research and clinical practice. Precision medicine
has been defined as “an approach to disease treatment and prevention that seeks to maximize effectiveness by
taking into account individual variability in genes, environment, and lifestyle.” Since its inception in 2018, the
mission of the PsycheMERGE network has been to advance precision psychiatry in a learning health care system
framework. This application, which was developed collaboratively by PsycheMERGE Network members,
represents an opportunity for profound advancement of both basic and translational research in precision
psychiatry. We propose extending our foundational efforts to now address barriers to scalability, utility of genomic
data, clinical application, and translation to clinical practice in a precision psychiatry paradigm. Specifically, Aim
1 creates a nation-wide federated transfer-learning platform for the development of generalizable and bias-aware
algorithms. Aim 2 integrates state-of-the-art methods to perform inclusive trans-ancestry genomic analysis of
biobank samples and further innovates by leveraging the breadth and depth of medical record data to discover
novel biology that can further inform precision psychiatry paradigms. Aim 3 addresses the application of
algorithms by focusing on two use cases including (a) differential diagnosis between bipolar disorder 1 and other
mood disorders, as well as (b) probabilistic treatment response to antidepressants for acute depressive
episodes. Lastly, Aim 4 uses mixed methods to assess the feasibility, utility, and attitudes towards precision
psychiatry tools. Our combined sample of clinical EHR data exceeds 29 million individuals and of those, nearly
2 million also have genetic data already available for analysis across the twelve sites included in this application.
A cross-cutting theme throughout the application is the intentional focus on equitable performance of algorithms,
innovative integration of social determinants of health, and inclusive methods for genomic analyses. The sites
included are also representative of many diverse communities across the United States including the East and
West Coasts, the South, and the Midwest. This application represents a major step towards equitable precision
psychiatry and brings the field closer to the goals outlined in the updated NIMH Strategic plan.",SUCCESS
Matthew Carlson; Shuai Leng,High-resolution in vivo imaging of inner ear using photon-counting-detector computed tomography and artificial intelligence,2025,R01,711342,2025-07-01T00:00:00,2030-06-30T00:00:00,,,High,"Bullseye. ""artificial intelligence"" is explicit.","PROJECT SUMMARY/ABSTRACT
Disorders of the inner ear manifest as an array of audiovestibular diseases and constitute a significant public
health burden, affecting millions of individuals and costing billions of dollars each year. As the population ages
worldwide, the disease prevalence is intensifying, necessitating immediate action to address this growing public
health issue. CT imaging of the inner ear is a central component of the diagnostic evaluation of patients
presenting with vestibular symptoms, hearing loss, autophony, and chronic otitis media. As a part of this
evaluation, accurate detection and characterization of potential labyrinthine dehiscence is imperative to
definitively rule in or rule out disease, inform patient counseling, guide shared clinical decision-making, quantify
the risk and potential outcome associated with surgical intervention, and further understand the natural history
of disease. Notably, current in vivo imaging techniques are unable to consistently decipher thin versus truly
dehiscent labyrinthine bone. Further, current CT imaging is not able to fully characterize dehiscence morphology
(shape, size, and surface area). As such, high-quality, high-resolution, artifact-free in vivo imaging is critically
needed for the reliable diagnosis and management of inner ear disorders such as superior semicircular canal
dehiscence syndrome and cholesteatomatous labyrinthine fistula.
To address this unmet clinical need, we propose to develop high-fidelity clinical imaging techniques for the inner
ear using photon counting detector computed tomography (PCD-CT) and advanced artificial intelligence (AI)
algorithms. Our team has been at the forefront of PCD-CT development and its clinical translation, and has an
established track record of strong multidisciplinary collaborative innovation in this space. Building upon our
successful prior work, we will harness the power of AI – in synergy with PCD-CT – to reduce image noise,
improve spatial resolution, and reduce radiation dose for CT imaging of the inner ear. We will develop and
validate these techniques with cadavers, and in vivo patient CT exams.
The innovation of our proposal lies in the synergy of PCD-CT and advanced AI algorithms for spatial resolution
improvement, noise and dose reduction, and a cadaver library of normal and labyrinthine thinning and
dehiscence specimens that will enable iterative protocol optimization of ultra-high-spatial-resolution inner ear
imaging. Without the proposed techniques, PCD-CT, while impressive, remains limited by noise, image artifacts,
and radiation dose. Further, under controlled conditions using cadaveric specimens, definitive evidence of the
impact of the developed techniques will be obtained. Successful completion of this proposal will have a significant
impact on patients with inner ear diseases, allowing high-fidelity imaging with improved diagnostic accuracy and
individualized patient management. In addition, the technical innovations for noise reduction, super-resolution,
and dose reduction developed in the proposal will benefit inner ear imaging tasks beyond dehiscence, including
direct visualization of the interscalar cochlear partition, and can be readily applied to the middle ear.",SUCCESS
Hao Gong; Cynthia McCollough,Diagnostic performance assessment and dose optimization using patient CT images: Application to deep-learning CT reconstruction and denoising technologies,2025,R01,567984,2012-09-20T00:00:00,2027-12-31T00:00:00,,,High,"Bullseye. ""deep-learning CT reconstruction"" is explicit.","PROJECT SUMMARY/ABSTRACT
Half of the man-made radiation exposure to the U.S. population can be attributed to CT. Thus, stakeholders
have invested heavily in the reduction of CT doses. Recently, CT Deep Learning Reconstruction or Denoising
(DLRD) techniques have become available that claim to enable dose reduction in CT, just as CT iterative
reconstruction (IR) claimed before it. Like DLRD, IR showed dramatic apparent increases in image quality by
reducing image noise. Subsequent clinical studies found that true dose reductions capabilities for IR were only
20-25% in soft tissues and organs. Greater dose reductions resulted in compromised signal detectability for
low-contrast lesions (e.g., liver metastases). Now, DLRD algorithms are being used in clinical practice and
appear to yield image quality superior to IR. But again, we are finding that excessive radiation dose reduction
can introduce new artifacts and compromise lesion detectability. Our overall objective is to develop and
validate methods that can quantitatively determine CT protocols that deliver the needed diagnostic
performance at the lowest patient dose for any scanner model or reconstruction algorithm.
 In our first two competitive award periods, we developed robust Channelized Hotelling model observers
(MOs) to quantify diagnostic performance using low contrast objects within a uniform phantom and validated
the work with large scale reader studies for both filtered back projection and IR images. We are deploying
these tools under EB028936 to allow robust dose optimization by CT users. However, there remain challenges.
First, low-contrast phantoms used with most MOs are too simple. Second, highly realistic lesion and noise
insertion tools require use of proprietary projection data and access to manufacturer software tools. Third, MOs
must be extended to work with DLRD methods and be generalizable to any scanner. The proposed work will
use patient image data, obviating the need for projection data, use our developed deep learning (DL)-MOs to
achieve a scalable solution for performance assessment, and be generalizable to any algorithm or scanner.
 The goal of this renewal application is to develop robust DL-MO tools to efficiently predict diagnostic
performance for images created with DLRD methods. We will accomplish this through three specific aims:
1. Develop and validate disease-insertion and low-dose-simulation tools for CT DLRD techniques.
2. Develop and validate DL-MO tools to quantify mean diagnostic performance for DLRD methods.
3. Extend DL-MO methods to estimate performance variations across readers.
 This work is the first to develop and use DL-MOs as accurate and efficient surrogates of human readers to
characterize task-specific performance of DLRD methods in CT using patient images. The resultant performance
assessment engine will facilitate training / testing of DL-based noise reduction algorithms and optimizing CT
protocols and doses. These significant capabilities will ensure that diagnostic performance and the lifesaving
diagnostic information obtained from CT are not compromised in DLRD-processed images.",SUCCESS
ANDREW RULE; JENNIFER ST SAUVER,A population-based study of deep learning derived organ and tissue measures for accelerated aging using repurposed abdominal CT images,2025,R01,657178,2023-09-30T00:00:00,2028-05-31T00:00:00,,,High,"Bullseye. ""deep learning derived... measures... using... CT images"" is explicit.","PROJECT SUMMARY
There has been a dramatic increase in the number of persons living with reduced physical function and with
aging-related chronic conditions. If we compare chronological age (calendar-based age) with biological age
(changes at the cellular, tissue, organ, and system levels), we can classify persons as aging faster
(accelerated aging) or slower (successful aging) than their peers. Methods have been developed to measure
biological age based on DNA methylation, telomere length, and blood biomarkers. However, such measures
may not accurately reflect organ- and tissue-level changes from aging. A multi-organ/tissue approach is
needed to identify comprehensive age-related structural changes before signs, symptoms, or clinical
diagnoses occur. Abdominal computed tomography (CT) has widespread use in the general population (35%
of adults ages 20-89 years in an 11-year period). Quantitative measures of the organs and tissues on
abdominal CT may predict organ-specific diseases, or in combination, may be used to calculate biological age
and predict the more global outcomes of hospitalization and mortality. Therefore, our central hypothesis is that
deep learning (DL) models applied to abdominal CTs can quantify structural features of the organs and tissues
to identify persons with accelerated aging at high-risk for organ-specific disease, hospitalization, and death.
The Rochester Epidemiology Project record-linkage system provides access to a general population archive of
images for 423,081 abdominal CTs and to comprehensive medical record data among 181,187 adults (ages
20-89 years) between 2010-2020. Our team has already developed and validated DL tools to measure liver,
kidney, aorta, fat, muscle, and bone on abdominal CT images. We will leverage these resources to 1) establish
percentiles of abdominal CT biomarkers from both healthy and general population samples; 2) determine the
risk of organ-specific clinical disease by abdominal CT biomarkers in the general population; and 3) determine
the risk of hospitalization and death associated with abdominal CT measures in the general population. If
successful, application of DL tools to abdominal CT images will enrich the characterization of age-related
health risks without additional testing burden. Subclinical abdominal CT biomarkers may also inform the
biology of aging and early disease, improve disease classification, and provide opportunities for early
intervention.",SUCCESS
Fergus Couch,Resolving the cancer relevance of predisposition gene mutations,2024,R35,638814,2020-09-01T00:00:00,2027-08-31T00:00:00,,,High,Computational genetics/genomics.,"Breast cancer has a strong heritable component with approximately 15% of patients exhibiting a family history
of the disease. My group recently established that inherited variants in 12 genes (ATM, BARD1, BRCA1, BRCA2,
CDH1, CHEK2, NF1, PALB2, PTEN, RAD51C, RAD51D, and TP53) predispose to breast cancer (1, 2), that
variants in all 12 genes increase risks of breast cancer in minority populations (3), and that variants in certain
genes predispose only to estrogen receptor (ER) positive (ATM and CHEK2) or ER negative and triple negative
breast cancer (TNBC) (BARD1, RAD51C and RAD51D) (4-6). Despite these major advances, clinical application
of the information is still lacking. In addition, up to 50% of the familial risk of breast cancer remains unexplained.
Under this award we plan to address clinically relevant issues, including improved application of genetic testing
results for risk management of patients and improved selection of breast cancer therapy. In addition, we aim to
identify new breast cancer predisposition genes that account for the missing heritability. The proposed studies
are unified under a theme of advancing understanding of predisposition genetics. The studies are as follows:
A. Age-specific and population-specific cancer risk assessment for predisposition gene variants. Results from
hereditary multigene panel testing has limited clinical utility because only lifetime risk estimates of cancer by age
80 are available. Here we will estimate 5 and 10-year risks of breast cancer, so that patients can make decisions
about medical management. In addition, we have evidence that specific genes have much higher penetrance in
African Americans. We will determine the penetrance of predisposition gene variants using a large African
American cohort study in order to modify risk management guidelines for this population.
B. Functional characterization of predisposition gene variants. Variants of uncertain significance (VUS)
identified by genetic testing remain a major problem for individuals receiving clinical genetic testing. We aim to
combine high-throughput functional analysis of VUS in ATM, BRCA2 and PALB2 genes with genetic data from
families in integrated models to determine the clinical relevance of many VUS alterations.
C. Therapeutic response for breast cancer predisposition genes. The responsiveness of breast tumors
associated with predisposition gene variants to standard or targeted therapy is only known for BRCA1 and
BRCA2 mutation carriers. Here we aim to identify all patients with pathogenic variants in the commonly mutated
BRCA1, BRCA2, PALB2, ATM and CHEK2 genes from a series of neo-adjuvant, adjuvant and metastatic breast
cancer clinical trials and to assess response to therapy and outcome.
D. Identification of novel breast cancer predisposition alleles. The common and rare risk alleles for breast
cancer account for only 50% of the familial risk in the population. In an effort to identify the missing heritability
we will collaborate with Regeneron Inc. through our SIMPLEXO consortium to identify common and rare alleles
associated with breast cancer risk in 45,000 breast cancer patients.",SUCCESS
LINDA BAUGHN,Differences in Tumor Biology of Multiple Myeloma in Association with African Ancestry,2024,R37,467019,2023-09-19T00:00:00,2028-08-31T00:00:00,,,High,Likely involves genomics/transcriptomics to find biological differences.,"PROJECT SUMMARY
Although multiple myeloma (MM) is the most common blood cancer in Black/African American (AA) individuals,
AA patients have been significantly underrepresented in MM research studies and clinical trials. MM has one of
the most pronounced disparities in the incidence and mortality between AA and European American (EA)
patients. As MM research has largely focused on patients of European ancestry, it remains unknown whether
disparities in the incidence and outcomes of AA and EA patients are due to differences in healthcare access
and/or socioeconomic, environmental, or biological factors. Large-scale studies comparing variation of the MM
tumor, its tumor microenvironment (TME) and disease survival among AA patients and incorporating calculated
African ancestry are critically needed. Our long-term goal is to identify important factors contributing to the health
disparity in AA patients with MM. The overall objective of this proposal is to characterize the genetic variations
of the MM tumor, its TME, and the impact of this variation on disease survival in a large, well-powered study of
AA patients with MM. We hypothesize that AA patients have favorable MM tumor genetics but a greater
immunosenescent TME, which can affect response to therapy and overall survival. The following specific aims
will be evaluated: 1) Differentiate the genetic variations of MM tumors between newly diagnosed AA and EA
patients; 2) Analyze the MM tumor microenvironments of newly diagnosed AA and EA patients; and 3) Compare
the responses to treatment of MM tumors in newly diagnosed AA and EA patients. In specific aim 1, 1500 newly
diagnosed MM patients (480 AA and 1020 EA) from two independent cohorts will be used to determine the
frequency of risk-defining tumor genetic abnormalities, genome-wide genomic complexity, and mutation
signatures. Differences in disease survival will be compared in relation to these risk-defining genetic
abnormalities and the influence of race. In specific aim 2, 200 newly diagnosed MM patients (100 AA and 100
EA) from Mayo Clinic cohort will be used to analyze the TME signatures using RNAseq and validated using
CyTOF. Differences in disease survival will be compared in relation to these TME signatures and the influence
of race. In specific aim 3, 100 newly diagnosed MM patients (50 AA and 50 EA) from Mayo Clinic will be used to
evaluate tumor responses to therapeutic regimens using an ex vivo drug sensitivity platform. Genetic and
transcriptomic predictors of ex vivo drug response will be assessed, and top targets and novel agents will be
evaluated using human myeloma cell lines. This proposal is significant because understanding MM tumor
genetics and TME in AA patients will allow for improved treatment selection and prognostication in this
underserved population.",SUCCESS
MARK MC NIVEN; LEWIS ROBERTS,Mayo Clinic Hepatobiliary SPORE,2024,P50,2236005,2018-09-10T00:00:00,2029-08-31T00:00:00,,,High,A P50 SPORE grant is huge and always has a dedicated bioinformatics/biostatistics core.,"OVERALL – PROJECT SUMMARY
This is a renewal of the NCI-supported Mayo Clinic SPORE in Hepatobiliary Cancers (HBC), with a foundation
built upon innovative translational science and utilizing state-of-the-art approaches to understand and treat liver
cancers; these are the second leading cause of cancer deaths in the country. The breadth of the projects spans
hepatocellular carcinoma (HCC), cholangiocarcinoma (CCA), and pediatric/young adult fibrolamellar (FLC).
Three unique translational projects promise significant steps forward, supported by three well-constructed and respon-
sive cores. Additionally, robust Developmental Research and Career Enhancement Programs continue to identify
and support talented HBC-investigators, many from underrepresented groups. Ongoing support from the Mayo
Foundation and Mayo Clinic Comprehensive Cancer Center benefit these components by enabling integrated
resources, skilled staff, and leadership guidance to ensure success. The approach remains comprehensive,
milestone focused, and patient centered. For example, the completion of former Project 3 has led to a novel first-in-
class compound that has advanced to clinical trial. Three projects have developed successfully into innovative renewal pro-
jects that utilize novel approaches of immunotherapeutics, computational biology, and chemical genomics. The translational
projects in this renewal proposal investigate HBC biology to enhance therapeutic response, building on recent,
promising clinical and preclinical advances, summarized below. Diagnostics and drug repurposing for FLC: Pro-
ject 1 demonstrates 1) differential therapeutic sensitivity of FLC but with 2) variability in patient responsiveness,
and now extends into a novel functional approach to precision medicine by 3) defining therapeutics that affect
FLC cell viability, while also 4) developing blood- and urine-based biomarkers for tumor burden. Targeting yes-
associated protein (YAP), transcriptional enhanced associate domain (TEAD) oncogenic signaling, and thera-
peutic resistance in CCA: developed from studies defining alternative mechanisms activating this “undruggable”
target (YAP) in CCA, Project 2 will 1) leverage a novel inhibitor in preclinical models and 2) test clinical efficacy
in a clinical trial. Reversal of the immune suppressive HCC microenvironment through appropriately timed and
optimally delivered combination viroimmunotherapies: advancing the use of oncolytic viruses to augment the
killing of tumor cells for HCC, new Project 3 now will 1) test the clinical efficacy of a novel virotherapy combined
with standard of care immunotherapy, 2) develop new combination viroimmunotherapies with increased potency
in pre-clinical Sleeping Beauty models, and 3) develop a novel standard of care, virotherapy, CAR T-cell therapy
combination. Collectively, this innovative, interactive, and highly collaborative translational research program is
expected to advance prevention, early detection, diagnosis, treatment, and prognosis of patients with cancers of
the liver and biliary tree.",SUCCESS
Ajit Goenka,Quantitative In Vivo 68Ga-Fibroblast-Activation-Protein-Inhibitors (FAPI)-46 PET Imaging of Cancer-Associated Fibroblasts (CAFs) in Pancreatic Ductal Adenocarcinoma (PDA),2024,R01,444504,2022-09-01T00:00:00,2027-08-31T00:00:00,,,High,"""Quantitative... Imaging"" is a core computational task.","PROJECT SUMMARY
Pancreatic ductal adenocarcinoma (PDA) is the third leading cause of cancer-related deaths in the USA and is
anticipated to become the second leading cause by 2030. Its characteristic desmoplastic stroma, constituting
60–70% of its volume, is one of the critical factors that contributes to the dismal outcomes. Fibroblast activation
protein (FAP)-expressing Cancer-Associated Fibroblasts (CAFs) are one of the most important stromal
constituents because they play a fundamental role in the carcinogenesis, fibrosis, tumor growth, metastases,
and treatment resistance. FAP expression in PDA is an independent predictor of poor outcomes. Lack of
noninvasive tools to precisely profile CAF identity and function both temporally and spatially in vivo is a critical
barrier for translation of existing knowledge of the tumor microenvironment to address unmet clinical needs.
68Ga-FAP-inhibitor (FAPI)-46 has emerged as a PET radiotracer with optimal properties for FAP-targeted clinical
imaging and theranostics in PDA. These include low nanomolar affinity to FAP, near-complete internalization of
radioactivity bound to FAP, absence of physiologic uptake, rapid blood clearance and prolonged tumor retention,
and operational characteristics that offer tremendous flexibility to suit the clinical context, PET scanner profile,
and workflow for patients with PDA. Traditionally, long regulatory and reimbursement approval pathways coupled
with high costs of comparative studies have delayed clinical access to promising precision tools such as 68Ga-
FAPI-46 PET. Thus, for the clinical translation of a theranostic radiotracer such as 68Ga-FAPI-46, an academic-
industrial partnership (AIP) based on complementary strengths and a coherent clinical development strategy is
needed to reduce the risk and raise the likelihood of meeting FDA standards and consumer expectations. Our
AIP - Mayo Clinic and Sofie Biosciences (“SOFIE”) - will undertake a clinical investigation in compliance with
FDA standards to form the basis of a new drug application (NDA) with the goal to deliver a new capability to end
users, consistent with this FOA’s intent. Our hypothesis is that 68Ga-FAPI-46 PET will be an accurate technique
to detect and quantify CAFs and that metrics derived from 68Ga-FAPI-46 PET will be novel biomarkers in PDA.
In Aim 1, using immunophenotyping as the reference standard, the sensitivity and specificity of 68Ga-FAPI-46
PET will be evaluated for the detection and quantification of CAFs in PDA, along with inter-reader and intra-
reader reliability, and the dynamic changes in 68Ga-FAPI-46 PET biomarkers in response to neoadjuvant
treatment. In Aim 2, 68Ga-FAPI-46 PET will be compared, correlated, and combined with other mechanistically
distinct investigations to improve pre-surgical staging and to predict post-surgical outcomes. Our AIP has the
potential to deliver a noninvasive molecular imaging assay that can provide greater insight into disease biology,
impact clinical practice, predict outcomes, potentiate existing therapeutics, and yield a pathway to novel
therapeutic approaches. Given the wide and evolving role of FAPI imaging and theranostics, our AIP has the
potential to scale our impact beyond PDA to other oncologic and non-oncologic applications.",SUCCESS
SVETOMIR MARKOVIC,Quantitative assessment of pre-metastatic immune subversion as a risk factor for melanoma relapse,2024,R01,581811,2022-09-01T00:00:00,2027-08-31T00:00:00,,,High,"""Quantitative assessment"" and ""risk factor"" analysis points to computational modeling.","PROJECT SUMMARY/ABSTRACT
There is a fundamental gap in understanding the immunological paradox by which solid tumors first
metastasize via lymphatic channels into the immune-rich lymph node. During this process, immune
surveillance is disabled, ultimately allowing metastatic dissemination to the precise location where it should be
first eliminated—the tumor-draining, sentinel lymph node (SLN). While notably prognostic, it is clear the
metastatic status of the SLN alone is not sufficient in determining patient’s risk or relapse. Therefore,
understanding the mechanisms underlining this chronic process of tumor mediated regional
immunosuppression, commonly referred to as pre-metastatic niche (PMN) formation in the SLN will lend
significant insights for developing improved prognostic and therapeutic tools to detect and reverse cancer
dissemination early in the natural history of metastatic progression. Our long term goal is to develop
therapeutic strategies capable of overcoming the immune compromise of the SLN PMN and thereby disrupt
the first stage of cancer metastasis. Therefore, the objective of the current work is to mechanistically
interrogate the process by which the subcellular component of the primary tumor lymphatic effluent directly
mediates PMN formation. The central hypothesis proposes that in solid tumors, subcellular mediators derived
from the primary tumor microenvironment actively traffic through the lymphatics and in a cargo-dependent
manner create a PMN in the tumor-draining SLN. This hypothesis has been formulated on the basis of
preliminary data produced in the applicant’s laboratory; namely the discovery and characterization of
human lymphatic extracellular vesicles (L-EV) which have a demonstrated capacity to modulate
immune function. The rationale asserts that in elucidating the factors and signatures that define PMN
formation in the SLN, the knowledge gained will be significant as it will identify histopathologic biomarkers that
could aid in patient risk stratification beyond the presence of melanoma cells in the SLN. Guided by strong
preliminary data, this hypothesis will be tested in two specific aims: 1) identify mechanisms whereby lymphatic
subcellular factors promote immune dysfunction in the pre-metastatic SLN beyond those already identified (i.e.
S100A9); 2) evaluate the prognostic utility of these immune-modulating factors in predicting risk of recurrence
by considering the comprehensive, interactive cellular landscape that defines the immunologically
compromised SLN. The approach is innovative as it will use a mechanism-driven model to identify subcellular
factors from a previously uncharacterized biological fluid, human lymph (Aim 1), complemented by a novel,
multiplexed biomarker imaging approach in order to survey the SLN immunological landscape in a quantitative
and spatially preserved manner to ultimately translate predictive features into clinically amenable platforms
(Aim 2). Such findings will result in a refined definition of early-stage patients at risk of relapse and in need of
earlier interventions.",SUCCESS
Iftikhar Kullo,GEMINEA: Genomic Medicine for Individuals from East Africa,2024,R01,847553,2024-05-01T00:00:00,2029-02-28T00:00:00,,,High,"""Genomic Medicine"" is a core computational field.","PROJECT SUMMARY
The study of African genomes is an urgent, critical need, not only to promote equity but also as a scientific
imperative. Prior studies have included mostly individuals from Western, Central, or Southern Africa, and a
major gap is the lack of cohorts from East Africa, who likely have unique demographic history, allele frequency
spectrum and linkage disequilibrium patterns. The Somalis are a distinct East African population group who
have not been part of genomic medicine research initiatives.
Due to political instability, many Somalis emigrated to the United States, with the largest number living in
Southeast Minnesota. Using a community based participatory research framework to guide efforts, we
engaged with the Somali community including tribal elders, imams, and healthcare workers, as well as
representative community-based organizations (e.g., Somali Health Advisory Committee, Pamoja Women) and
noted the community’s enthusiasm to engage in genomic medicine research. Our proposed research will
enable a research partnership with an underserved population of East African origin to establish a genomic
medicine research program in this understudied community. We propose the following specific aims: Aim 1.
(a) Expand a community based participatory genomic medicine research effort in the Somali community of
Southeast Minnesota. We will be guided by a Community Advisory Board with diverse representation; (b)
Create a biobank of 1000 Somali individuals that includes plasma, DNA, and RNA. Clinical variables and social
determinants of health will be obtained from the electronic health record and surveys. Aim 2. (a) Perform
population genetics analyses of whole genome sequencing (30x) data, to investigate the demographic history
of the Somali population. We will use a graph genome reference based on African sequences from the
Pangenome Consortium, instead of the linear GRCh38, for more accurate variant calling; (b) Use population
genetics data to inform construction of polygenic scores for biologically relevant quantitative traits, starting with
lipid levels, height, and body mass index. Aim 3. (a) Identify actionable variants in medically relevant genes
(ACMG Secondary Findings v3.0) as well as select pharmacogenomic variants; (b) Return actionable results
based on input from the community and participant choice and assess near term outcomes.
By conducting research in a unique and understudied racial/ethnic group, the proposed work will extend our
knowledge of African genomes, help lessen disparities in genomic medicine and provide novel insights that are
relevant to diverse populations.",SUCCESS
Christopher Amos; Manal Hassan; LEWIS ROBERTS,International Consortium for the Genetics of Biliary Tract Cancers Cholangiocarcinoma Genome Wide Association Study,2024,U01,636071,2023-04-10T00:00:00,2028-03-31T00:00:00,,,High,"""Genetics... Genome Wide Association Study"" (GWAS) is a classic computational genomics task.","Abstract/Project Summary
Cholangiocarcinoma (CCA) is a highly lethal cancer that arises from the bile ducts and is often diagnosed at
an advanced stage with very poor prognosis. Factors associated with development of CCA include
inflammatory conditions of the bile ducts such as congenital cysts, gallstones, primary sclerosing cholangitis
(PSC), chronic hepatitis from viral and other causes, and occupational exposure to toxins such as the organic
solvents dichloromethane and 1,2-dichloropropane. In parts of Asia, liver fluke infestations of the bile ducts are
a major risk factor. However, the majority of patients who develop CCA worldwide have no known major risk
factor. Based on epidemiologic studies, it appears that CCA risk is due to a combination of genetic and
environmental factors. Genome-wide association studies (GWAS) have identified genetic susceptibility loci for
different cancer types, allowing development of risk models that can allow determination of an individual’s risk
of cancer. GWAS have also provided valuable information on the biological and molecular pathways that
contribute to risk of different cancers, allowing improved understanding of cancer development and progress in
cancer prevention and treatment. Because CCA is a relatively less common cancer, it has been difficult to study
large numbers of CCA patients and there have been no large CCA GWAS studies published, either for patients
with de novo CCA or for CCA developing in patients with PSC. Although PSC patients are up to 150 times
more likely to develop CCA than the general population, only 10-20% of PSC patients will progress to CCA.
Variation in the risk of CCA among PSC patients may be caused by a complex interplay between genetic and
environmental factors. Several studies indicate PSC has a strong genetic component; however, the impact of
genetic factors in PSC-related CCA development is yet to be elucidated. We hypothesize that different host
genetic variants are associated with CCA risk in de novo versus PSC-associated CCA cases. We have
developed a large multi-institutional and multi-national collaboration to identify gene variants associated with
CCA. The goal of this study is to use high-density single nucleotide polymorphism (SNP) analysis of genomic
DNA from CCA patients and controls. In a first phase of the study, we have genotyped DNA from 2829 CCA
patients, including 2412 of European and 417 of Asian descent. Of the European descent cases, 197 were
PSC-associated. Comparing the results with controls from the PLCO cohort, we identified a variant in the HLA
region on chromosome 6 that reached genome wide significance. A number of additional regions showed
suggestive results. We now propose an expansion of this discovery phase to acquire, genotype and sequence
DNA from an additional 7,267 CCA patients to confirm the validity of these suggestive results. We are also
expanding recruitment efforts to enrich the cohort in samples from non-European patients. We will use
sophisticated statistical genetic methods to analyze the results from the multi-ethnic cohort. Whole exome
sequencing will also be used to identify rare variants associated with CCA.",SUCCESS
Cynthia Crowson,DP22-002 Epidemiology of Lupus: Longitudinal Studies in Population-Based Cohorts - 2022,2024,U01,950000,2022-09-30T00:00:00,2027-09-29T00:00:00,,,High,"Epidemiology on large, longitudinal population cohorts is a heavily statistical/computational field.","PROJECT SUMMARY
Knowledge about lupus is biased towards the severe end of the disease spectrum due to difficulty assembling
population-based cohorts of persons with lupus. An urgent need to expand the basic epidemiologic
understanding of cutaneous and systemic lupus in four content areas (i.e., natural history, treatment, health
care access, and disparities) was identified by the Centers for Disease Control and Prevention. Our project
addresses these needs using the unique research infrastructure of the Rochester Epidemiology Project (REP),
which contains longitudinal data on residents of a 27-county region in Minnesota and Wisconsin. We have
assembled population-based cohorts comprised of persons with prevalent and incidence systemic lupus
erythematosus (SLE) and cutaneous lupus erythematosus (CLE) matched to general population comparators
without SLE/CLE by sex, age, race/ethnicity, and county of residence. These cohorts comprise the Lupus
Midwest Network (LUMEN). Through the REP infrastructure, LUMEN follows individuals regardless of
insurance status and encompasses the full spectrum of care, from primary care clinics to tertiary specialty
care, and maintains an electronic index of diagnoses and procedures, including all inpatient and outpatient
encounters, laboratory measures, and drug prescription data. In this competitive renewal of a highly successful
grant investigating multimorbidity in SLE and CLE, opioid pain therapy, and healthcare access and gaps, our
team of researchers and clinicians with decades of experience conducting population-based research will now
focus on new research questions designed to have a high public health impact and to leap forward in our
understanding of the natural history, treatment, healthcare access, and disparities across the full spectrum of
CLE and SLE. Using the LUMEN population-based cohorts, we aim to 1) determine the contributions of lupus
nephritis (LN) and anti-phospholipid syndrome (APS) to the excess mortality and unplanned healthcare
utilization (i.e., emergency department visits and hospitalizations) among patients with SLE; 2) determine the
contribution of LN to the excess risk of cardiovascular disease (myocardial infarction and stroke), infections,
and osteoporosis among patients with SLE; 3) determine access to SLE-specific screening services and
patterns of glucocorticoid use by social determinants of health, age, sex, and race/ethnicity; and 4) determine
the transition rates over time and risk factors for transition from CLE to SLE over four decades to test the
hypothesis that a) most transitions from CLE to SLE occur within five years of the CLE diagnosis, and b) oral
contraceptives or postmenopausal hormone use increase the risk of transitioning from CLE to SLE. These
projects will inform the individualized prognostication of SLE in clearly defined disease phenotypes and inform
interventions to optimize patient care, prevent or reduce adverse outcomes in patients with lupus, and will
identify a window of opportunity in CLE for therapeutic interventions to prevent the transition to SLE.",SUCCESS
